user_id,age,race_ethnicity,income_bracket,education_level,geography,insurance_type,owns_wearable,uses_wearable_for_health,shares_data_with_provider
U00000,49,white,lower_middle,high_school,urban,medicaid,False,False,False
U00001,29,white,lower_middle,high_school,suburban,medicaid,False,False,False
U00002,56,white,lower_middle,less_than_hs,rural,medicare,False,False,False
U00003,59,white,middle,some_college,suburban,military_va,False,False,False
U00004,18,white,upper_middle,bachelors,suburban,private,True,True,False
U00005,25,multiracial,high,bachelors,suburban,private,True,False,False
U00006,46,white,upper_middle,bachelors,suburban,private,True,False,False
U00007,40,white,middle,bachelors,rural,medicare,True,True,False
U00008,44,hispanic_latino,middle,high_school,suburban,private,True,True,False
U00009,32,white,upper_middle,high_school,rural,medicare,False,False,False
U00010,58,white,upper_middle,high_school,suburban,private,True,True,False
U00011,56,multiracial,lower_middle,high_school,suburban,private,False,False,False
U00012,45,white,high,bachelors,urban,private,False,False,False
U00013,61,white,middle,bachelors,suburban,medicaid,True,False,False
U00014,52,white,upper_middle,graduate,rural,military_va,True,False,False
U00015,32,asian,high,graduate,suburban,medicare,True,False,False
U00016,50,white,upper_middle,bachelors,urban,private,False,False,False
U00017,30,white,low,less_than_hs,suburban,uninsured,False,False,False
U00018,58,white,middle,some_college,suburban,private,False,False,False
U00019,44,white,low,high_school,rural,medicaid,False,False,False
U00020,42,asian,upper_middle,graduate,urban,uninsured,True,True,False
U00021,34,white,lower_middle,some_college,urban,medicare,True,True,True
U00022,63,multiracial,upper_middle,some_college,suburban,military_va,False,False,False
U00023,42,white,high,bachelors,urban,private,True,True,False
U00024,38,white,lower_middle,high_school,rural,private,False,False,False
U00025,39,hispanic_latino,middle,graduate,suburban,private,False,False,False
U00026,52,white,upper_middle,high_school,suburban,uninsured,True,True,True
U00027,50,white,middle,less_than_hs,urban,private,True,True,False
U00028,51,hispanic_latino,lower_middle,high_school,suburban,uninsured,True,True,True
U00029,51,white,low,some_college,rural,medicare,False,False,False
U00030,77,white,middle,some_college,suburban,medicaid,False,False,False
U00031,38,multiracial,upper_middle,bachelors,urban,private,True,True,True
U00032,37,white,middle,some_college,urban,private,False,False,False
